""	"x"
"1"	"Alabama"
"2"	"Alabama"
"3"	"Alabama"
"4"	"Alabama"
"5"	"Alabama"
"6"	"Alabama"
"7"	"Alabama"
"8"	"Alabama"
"9"	"Alabama"
"10"	"Alabama"
"11"	"Alabama"
"12"	"Alabama"
"13"	"Alabama"
"14"	"Alabama"
"15"	"Alabama"
"16"	"Alabama"
"17"	"Alabama"
"18"	"Alabama"
"19"	"Alabama"
"20"	"Alabama"
"21"	"Alabama"
"22"	"Alabama"
"23"	"Alabama"
"24"	"California"
"25"	"California"
"26"	"California"
"27"	"California"
"28"	"California"
"29"	"California"
"30"	"California"
"31"	"California"
"32"	"California"
"33"	"California"
"34"	"Colorado"
"35"	"Colorado"
"36"	"Colorado"
"37"	"Colorado"
"38"	"Colorado"
"39"	"Colorado"
"40"	"Colorado"
"41"	"Colorado"
"42"	"Colorado"
"43"	"Colorado"
"44"	"Colorado"
"45"	"Colorado"
"46"	"Colorado"
"47"	"Colorado"
"48"	"Colorado"
"49"	"Colorado"
"50"	"Colorado"
"51"	"Colorado"
"52"	"Colorado"
"53"	"Colorado"
"54"	"Colorado"
"55"	"Colorado"
"56"	"Colorado"
"57"	"Colorado"
"58"	"Colorado"
"59"	"Colorado"
"60"	"Colorado"
"61"	"Colorado"
"62"	"Colorado"
"63"	"Colorado"
"64"	"Colorado"
"65"	"Colorado"
"66"	"Connecticut"
"67"	"Connecticut"
"68"	"Connecticut"
"69"	"Connecticut"
"70"	"Connecticut"
"71"	"Connecticut"
"72"	"Connecticut"
"73"	"Connecticut"
"74"	"Connecticut"
"75"	"Connecticut"
"76"	"Connecticut"
"77"	"Connecticut"
"78"	"Connecticut"
"79"	"Connecticut"
"80"	"Connecticut"
"81"	"Connecticut"
"82"	"Country Of Mexico"
"83"	"Country Of Mexico"
"84"	"Country Of Mexico"
"85"	"Country Of Mexico"
"86"	"Country Of Mexico"
"87"	"Country Of Mexico"
"88"	"Country Of Mexico"
"89"	"Country Of Mexico"
"90"	"Country Of Mexico"
"91"	"Country Of Mexico"
"92"	"Country Of Mexico"
"93"	"Country Of Mexico"
"94"	"Country Of Mexico"
"95"	"Country Of Mexico"
"96"	"Country Of Mexico"
"97"	"Country Of Mexico"
"98"	"Country Of Mexico"
"99"	"Country Of Mexico"
"100"	"Country Of Mexico"
"101"	"Country Of Mexico"
"102"	"Country Of Mexico"
"103"	"Country Of Mexico"
"104"	"Country Of Mexico"
"105"	"Country Of Mexico"
"106"	"Country Of Mexico"
"107"	"Country Of Mexico"
"108"	"Country Of Mexico"
"109"	"Country Of Mexico"
"110"	"Country Of Mexico"
"111"	"Country Of Mexico"
"112"	"Country Of Mexico"
"113"	"Country Of Mexico"
"114"	"Country Of Mexico"
"115"	"Country Of Mexico"
"116"	"Country Of Mexico"
"117"	"Delaware"
"118"	"Delaware"
"119"	"Delaware"
"120"	"Delaware"
"121"	"Delaware"
"122"	"Delaware"
"123"	"Delaware"
"124"	"Delaware"
"125"	"Delaware"
"126"	"Delaware"
"127"	"Delaware"
"128"	"Delaware"
"129"	"Delaware"
"130"	"Delaware"
"131"	"Delaware"
"132"	"Delaware"
"133"	"Delaware"
"134"	"Delaware"
"135"	"Delaware"
"136"	"Delaware"
"137"	"Delaware"
"138"	"District Of Columbia"
"139"	"District Of Columbia"
"140"	"District Of Columbia"
"141"	"District Of Columbia"
"142"	"District Of Columbia"
"143"	"District Of Columbia"
"144"	"District Of Columbia"
"145"	"District Of Columbia"
"146"	"District Of Columbia"
"147"	"District Of Columbia"
"148"	"District Of Columbia"
"149"	"District Of Columbia"
