""	"x"
"1"	"Alabama"
"2"	"Alabama"
"3"	"Alabama"
"4"	"Alabama"
"5"	"Alabama"
"6"	"Alabama"
"7"	"Alabama"
"8"	"Alabama"
"9"	"Alabama"
"10"	"Alabama"
"11"	"Alabama"
"12"	"Alabama"
"13"	"Alabama"
"14"	"Alabama"
"15"	"Alabama"
"16"	"Alabama"
"17"	"Alabama"
"18"	"Alabama"
"19"	"Alabama"
"20"	"Alabama"
"21"	"Alabama"
"22"	"Alabama"
"23"	"Alabama"
"24"	"Alabama"
"25"	"Alabama"
"26"	"Alabama"
"27"	"Alabama"
"28"	"California"
"29"	"California"
"30"	"California"
"31"	"California"
"32"	"California"
"33"	"California"
"34"	"California"
"35"	"California"
"36"	"California"
"37"	"California"
"38"	"California"
"39"	"California"
"40"	"California"
"41"	"California"
"42"	"California"
"43"	"California"
"44"	"California"
"45"	"California"
"46"	"California"
"47"	"California"
"48"	"California"
"49"	"California"
"50"	"California"
"51"	"California"
"52"	"California"
"53"	"California"
"54"	"California"
"55"	"California"
"56"	"California"
"57"	"California"
"58"	"California"
"59"	"California"
"60"	"Colorado"
"61"	"Colorado"
"62"	"Colorado"
"63"	"Colorado"
"64"	"Colorado"
"65"	"Colorado"
"66"	"Colorado"
"67"	"Colorado"
"68"	"Colorado"
"69"	"Colorado"
"70"	"Colorado"
"71"	"Colorado"
"72"	"Colorado"
"73"	"Colorado"
"74"	"Colorado"
"75"	"Colorado"
"76"	"Colorado"
"77"	"Colorado"
"78"	"Colorado"
"79"	"Colorado"
"80"	"Colorado"
"81"	"Colorado"
"82"	"Colorado"
"83"	"Colorado"
"84"	"Colorado"
"85"	"Colorado"
"86"	"Colorado"
"87"	"Colorado"
"88"	"Colorado"
"89"	"Colorado"
"90"	"Colorado"
"91"	"Colorado"
"92"	"Colorado"
"93"	"Colorado"
"94"	"Colorado"
"95"	"Colorado"
"96"	"Colorado"
"97"	"Connecticut"
"98"	"Connecticut"
"99"	"Connecticut"
"100"	"Connecticut"
"101"	"Connecticut"
"102"	"Connecticut"
"103"	"Connecticut"
"104"	"Connecticut"
"105"	"Connecticut"
"106"	"Connecticut"
"107"	"Connecticut"
"108"	"Connecticut"
"109"	"Connecticut"
"110"	"Connecticut"
"111"	"Connecticut"
"112"	"Connecticut"
"113"	"Connecticut"
"114"	"Connecticut"
"115"	"Connecticut"
"116"	"Connecticut"
"117"	"Connecticut"
"118"	"Connecticut"
"119"	"Connecticut"
"120"	"Connecticut"
"121"	"Connecticut"
"122"	"Connecticut"
"123"	"Connecticut"
"124"	"Connecticut"
"125"	"Connecticut"
"126"	"Connecticut"
"127"	"Connecticut"
"128"	"Connecticut"
"129"	"Connecticut"
"130"	"Connecticut"
"131"	"Connecticut"
"132"	"Connecticut"
"133"	"Connecticut"
"134"	"Country Of Mexico"
"135"	"Country Of Mexico"
"136"	"Country Of Mexico"
"137"	"Country Of Mexico"
"138"	"Country Of Mexico"
"139"	"Country Of Mexico"
"140"	"Country Of Mexico"
"141"	"Country Of Mexico"
"142"	"Country Of Mexico"
"143"	"Country Of Mexico"
"144"	"Country Of Mexico"
"145"	"Country Of Mexico"
"146"	"Country Of Mexico"
"147"	"Country Of Mexico"
"148"	"Country Of Mexico"
"149"	"Country Of Mexico"
"150"	"Country Of Mexico"
"151"	"Country Of Mexico"
"152"	"Country Of Mexico"
"153"	"Country Of Mexico"
"154"	"Country Of Mexico"
"155"	"Country Of Mexico"
"156"	"Country Of Mexico"
"157"	"Country Of Mexico"
"158"	"Country Of Mexico"
"159"	"Country Of Mexico"
